solution name,adoption unit,learning_curve_25th_percentile,learning_curve_mean,learning_curve_median,learning_curve_75th_percentile,current_adoption_25th_percentile,current_adoption_mean,current_adoption_median,current_adoption_75th_percentile,adoption_trend_25th_percentile,adoption_trend_mean,adoption_trend_median,adoption_trend_75th_percentile,adoption_ceiling_25th_percentile,adoption_ceiling_mean,adoption_ceiling_median,adoption_ceiling_75th_percentile
"Protect Seaweed Ecosystems Subtidal red, 75th percentile",one hectare of seaweed ecosystem protected,,,,,43530600.0,43530600.0,43530600.0,43530600.0,620600.0,1117200.0,969800.0,,243014800.0,243014800.0,243014800.0,243014800.0
Protect Seaweed Ecosystems Global weighted average,one hectare of seaweed ecosystem protected,,,,,78801600.0,78801600.0,78801600.0,78801600.0,1016300.0,2129700.0,1705600.0,,432649100.0,432649100.0,432649100.0,432649100.0
"Protect Seaweed Ecosystems Global weighted average, 25th percentile",one hectare of seaweed ecosystem protected,,,,,78801600.0,78801600.0,78801600.0,78801600.0,1016300.0,2129700.0,1705600.0,,432649100.0,432649100.0,432649100.0,432649100.0
"Protect Seaweed Ecosystems Global weighted average, 75th percentile",one hectare of seaweed ecosystem protected,,,,,78801600.0,78801600.0,78801600.0,78801600.0,1016300.0,2129700.0,1705600.0,,432649100.0,432649100.0,432649100.0,432649100.0
Reduce Food Loss & Waste,tonnes of reduced FLW,,,,,0.0,0.0,0.0,0.0,,,,,,,,
"Restore Forests Boreal, Low-intensity",one hectare of forest under restoration,,,,,,,,,,,,,19400000.0,19400000.0,19400000.0,19400000.0
"Restore Forests Temperate, Low-intensity",one hectare of forest under restoration,,,,,,,,,,,,,19000000.0,19000000.0,19000000.0,19000000.0
"Restore Forests Subtropical, Low-intensity",one hectare of forest under restoration,,,,,,,,,,,,,3500000.0,3500000.0,3500000.0,3500000.0
"Restore Forests Tropical, Low-intensity",one hectare of forest under restoration,,,,,,,,,,,,,54800000.0,54800000.0,54800000.0,54800000.0
"Restore Forests Boreal, High-intensity",one hectare of forest under restoration,,,,,,,,,,,,,19400000.0,19400000.0,19400000.0,19400000.0
"Restore Forests Temperate, High-intensity",one hectare of forest under restoration,,,,,,,,,,,,,19000000.0,19000000.0,19000000.0,19000000.0
"Restore Forests Subtropical, High-intensity",one hectare of forest under restoration,,,,,,,,,,,,,3500000.0,3500000.0,3500000.0,3500000.0
"Restore Forests Tropical, High-intensity",one hectare of forest under restoration,,,,,,,,,,,,,54800000.0,54800000.0,54800000.0,54800000.0
Restore Forests Global weighted average (Low-intensity),one hectare of forest under restoration,,,,,,,,,,,,,96800000.0,96800000.0,96800000.0,96800000.0
Restore Forests Global weighted average (High-intensity),one hectare of forest under restoration,,,,,,,,,,,,,96800000.0,96800000.0,96800000.0,96800000.0
Use Heat Pumps,installed heat pump system,,,,,,130000000.0,,,12000000.0,15000000.0,17000000.0,18000000.0,,,,
