solution name,adoption unit,CO2e,CH4,CO2,N2O,carbon sequestration,Unnamed: 7
Increase Carpooling,pkm avoided,5.53e-05,8.69e-07,5.27e-05,1.75e-06,0.0,
Increase Centralized Composting,metric tons of organic waste (t OW),9.330634135,8.318434113,1.130548894,-0.118348872,0.0,
Increase Recycling,Mt of material waste,1600000.0,533643.8747,1094648.536,,,
Manage Coal Mine Methane,Mt CH4 abated,81200000.0,81200000.0,0.0,0.0,0.0,
Manage Oil & Gas Methane,Mt CH4 abated,81200000.0,81200000.0,0.0,0.0,0.0,
Mobilize Electric Bicycles: Private electric bicycles,Electric bicycle adopted,0.110509562,0.000425121,0.106288745,0.003795697,0.0,
Mobilize Electric Bicycles: Shared electric bicycles,Electric bicycle adopted,0.012920743,4.85e-05,0.012355873,0.000516405,0.0,
Mobilize Electric Cars,pkm switched from conventional to electric vehicle,4.91e-05,9.32e-07,4.34e-05,4.79e-06,0.0,
Mobilize Hybrid Cars,pkm switched from conventional to hybrid vehicle,2.88e-05,-2.64e-07,2.72e-05,1.83e-06,0.0,
Protect Coastal Wetlands: Mangrove ecosystems,one hectare of coastal wetland protected,7.87846012,0.0,5.74227662,0.0,2.1361835,
Protect Coastal Wetlands: Salt marsh ecosystems,one hectare of coastal wetland protected,4.781394706,0.0,2.902539706,0.0,1.878855,
Protect Coastal Wetlands: Seagrass ecosystems,one hectare of coastal wetland protected,3.5588175,0.0,2.3345175,0.0,1.2243,
Protect Coastal Wetlands Global weighted average,one hectare of coastal wetland protected,5.044188344,0.0,3.488541789,0.0,1.555646555,
Protect Forests: Boreal,one hectare of forest protected,0.29870867,0.0,0.207445782,0.0,0.091262889,
Protect Forests: Temperate,one hectare of forest protected,1.403425059,0.0,0.831481717,0.0,0.571943342,
Protect Forests: Subtropical,one hectare of forest protected,2.204265629,0.0,1.860309183,0.0,0.343956446,
Protect Forests: Tropical,one hectare of forest protected,1.489339306,0.0,1.189478601,0.0,0.299860705,
Protect Forests Global weighted average,one hectare of forest protected,1.22,0.0,0.93,0.0,0.28,
Protect Grasslands & Savannas: Boreal,one hectare of grassland protected,0.901691073,0.0,0.571180222,0.238852287,0.091658564,
Protect Grasslands & Savannas: Temperate,one hectare of grassland protected,0.539253551,0.0,0.257140801,0.160054194,0.122058556,
Protect Grasslands & Savannas: Subtropical,one hectare of grassland protected,0.125128508,0.0,0.057968963,0.037747861,0.029411684,
Protect Grasslands & Savannas: Tropical,one hectare of grassland protected,0.056542523,0.0,0.016626287,0.010504552,0.029411684,
Protect Grasslands and Savannas Global weighted average,one hectare of grassland protected,0.337410145,0.0,0.190677391,0.090608792,0.056123962,
Protect Peatlands: Boreal,one hectare of peatland protected,0.991864006,0.110268444,0.739492276,0.113038453,0.029064833,
Protect Peatlands: Temperate,one hectare of peatland protected,4.739415668,0.484457136,3.722681215,0.455074707,0.07720261,
Protect Peatlands: Subtropical,one hectare of peatland protected,14.07634978,0.923104795,12.33284148,0.461492863,0.358910642,
Protect Peatlands: Tropical,one hectare of peatland protected,13.79121555,0.849358911,12.29284016,0.330353154,0.31866332,
Protect Peatlands Global weighted average,one hectare of peatland protected,6.062841235,0.424237906,5.261449853,0.237084974,0.140068502,
"Protect Seaweed Ecosystems Subtidal brown, estimate",one hectare of seaweed ecosystem protected,0.56051171,0.0,0.127071347,0.0,0.433440363,
"Protect Seaweed Ecosystems Subtidal deep red, estimate",one hectare of seaweed ecosystem protected,0.126595411,0.0,0.043241495,0.0,0.083353916,
"Protect Seaweed Ecosystems Subtidal brown, 25th percentile",one hectare of seaweed ecosystem protected,0.214044737,0.0,0.118757715,0.0,0.095287021,
"Protect Seaweed Ecosystems Subtidal red, 25th percentile",one hectare of seaweed ecosystem protected,0.03382313,0.0,0.020026072,0.0,0.013797058,
"Protect Seaweed Ecosystems Subtidal brown, 75th percentile",one hectare of seaweed ecosystem protected,0.906978683,0.0,0.135384978,0.0,0.771593705,
"Protect Seaweed Ecosystems Subtidal red, 75th percentile",one hectare of seaweed ecosystem protected,0.219367692,0.0,0.066456918,0.0,0.152910774,
Protect Seaweed Ecosystems Global weighted average,one hectare of seaweed ecosystem protected,0.316785136,0.0,0.079984933,0.0,0.236800204,
"Protect Seaweed Ecosystems Global weighted average, 25th percentile",one hectare of seaweed ecosystem protected,0.112816009,0.0,0.06330111,0.0,0.0495149,
"Protect Seaweed Ecosystems Global weighted average, 75th percentile",one hectare of seaweed ecosystem protected,0.520754264,0.0,0.096668756,0.0,0.424085508,
Reduce Food Loss & Waste,tonnes of reduced FLW,2.82,,2.82,,,
"Restore Forests Boreal, Low-intensity",one hectare of forest under restoration,5.858195482,0.0,0.0,0.0,5.858195482,
"Restore Forests Temperate, Low-intensity",one hectare of forest under restoration,11.48801526,0.0,0.0,0.0,11.48801526,
"Restore Forests Subtropical, Low-intensity",one hectare of forest under restoration,11.52914188,0.0,0.0,0.0,11.52914188,
"Restore Forests Tropical, Low-intensity",one hectare of forest under restoration,17.06162987,0.0,0.0,0.0,17.06162987,
"Restore Forests Boreal, High-intensity",one hectare of forest under restoration,14.56803436,0.0,0.0,0.0,14.56803436,
"Restore Forests Temperate, High-intensity",one hectare of forest under restoration,12.73567896,0.0,0.0,0.0,12.73567896,
"Restore Forests Subtropical, High-intensity",one hectare of forest under restoration,12.02162617,0.0,0.0,0.0,12.02162617,
"Restore Forests Tropical, High-intensity",one hectare of forest under restoration,18.19493529,0.0,0.0,0.0,18.19493529,
Restore Forests Global weighted average (Low-intensity),one hectare of forest under restoration,13.51862044,0.0,0.0,0.0,13.51862044,
Restore Forests Global weighted average (High-intensity),one hectare of forest under restoration,16.17120902,0.0,0.0,0.0,16.17120902,
Use Heat Pumps,installed heat pump system,0.97,0.0,0.95,0.02,0.0,
Utility-scale solar PV Drawdown Explorer,MW,760.0,8.428794835,748.7173561,4.836525108,0.0,
